text,date
비바G 체크 스마트 가이드 3.맛집 편,2018.05.15~2018.08.31
Global 시대를 위한 원어민 전화영어 할인 이벤트,2018.03.09~2018.08.31
해외여행은 하나 JCB카드와 함께!,2017.04.17~2018.08.20
소낙스 전 관리서비스 20% 단독 할인,2018.05.20~2018.07.31
포시즌스 호텔 프로모션,2017.10.01~2018.07.31
제주 퍼시픽랜드 할인 이벤트,2017.08.01~2018.07.31
하나 더(THE)서비스 뮤지컬 SMOKE,2018.04.03~2018.07.15
해외여행 렌터카 Rentalcars.com에서 할인 받고 떠나자...,2018.04.19~2018.07.13
부산 화미주헤어 할인,2017.08.31~2018.07.09
하나 더(THE)서비스 뮤지컬 SMOKE,2018.04.03~2018.07.15
해외여행 렌터카 Rentalcars.com에서 할인 받고 떠나자...,2018.04.19~2018.07.13
부산 화미주헤어 할인,2017.08.31~2018.07.09
금융서비스 이용 시 최대 5만 하나머니 적립!,2018.05.28~2018.06.30
문화를 즐기는 하나의 방법 월간 하나컬처.#15,2018.05.09~2018.06.30
SK매직 최대 30만머니 적립 놀람직 믹서기 증정은 바람...,2018.05.24~2018.06.30
다이닝 서비스 5~6월 추가혜택,2018.05.01~2018.06.30
하나멤버스 카드명세서 신청 시 아메리카노 증정,2018.05.01~2018.06.30
아워홈 호스피탈리티 Family Holidays,2018.05.01~2018.06.30
하나카드로 즐기는 뮤직메이트 스트리밍 이용권 특별 ...,2018.04.25~2018.06.30
삼익면세점 선불카드 증정+추가 증정 혜택,2018.04.01~2018.06.30
익스피디아 국내/해외 호텔 12% 할인,2018.04.01~2018.06.30
다이닝 서비스 2분기 스페셜오퍼,2018.04.01~2018.06.30
해비치호텔&리조트 제주 인조이 온리 포유 패키지 프로...,2018.04.01~2018.06.30
하나카드와 함께하는 인기가전 이벤트,2018.03.01~2018.06.30
국내! 해외! 이용금액 할부 전환 이벤트,2018.01.16~2018.06.30
하나카드 40주년 기념 신청 무이자할부 이벤트,2018.01.01~2018.06.30
