text,date
유니온페이카드 아고다 전세계 호텔 15% 할인,2018.04.20 ~ 2018.07.31
"가격보고 반했다, 타이항공 특가",2018.04.01 ~ 2018.07.20
VIP 회원 금호리조트 객실 50% 할인 이벤트,2018.06.01 ~ 2018.07.19
"VIP 회원 소노펠리체/소노빌리지
객실 특별할인!",2017.12.15 ~ 2018.07.19
KB국민 고등학교 학생증 체크카드 2018 슬기로운 학카 생활,2018.05.01 ~ 2018.06.30
KB국민 체크카드 탐난다! 탐앤탐스 커피 사이즈업!,2018.04.01 ~ 2018.06.30
Liiv Mate 신규회원 2000P 받고 싶은 사람!,2018.05.01 ~ 2018.06.30
MYOMEE(롯데렌탈)와 함께하는 KB국민카드 캐시백 이벤트 공기청정기 특가전 혜택,2018.04.05 ~ 2018.06.30
PAYCO 포인트가 필요해? Liiv Mate만 있으면 돼!,2018.05.25 ~ 2018.06.30
가정의 달 (Lovely Family) VIP 이벤트,2018.05.01 ~ 2018.06.30
"개인사업자를 위한 지능형 금융비서
장부장(App) 채용 이벤트",2017.07.10 ~ 2018.06.30
너무나도 아끼고 싶은 15개월 부분무이자할부,2018.04.23 ~ 2018.06.30
몰테일 KB국민카드로 배송료 할인도 받고 워터파크도 가고!,2018.03.30 ~ 2018.06.30
반려인이라면 응모필수! 신세계상품권 1만원,2018.05.19 ~ 2018.06.30
부동산임대료 자동납부 청구할인 최대 2만원,2018.05.01 ~ 2018.06.30
"새로운 변신, 새로운 혜택 라이프샵 골프 리뉴얼 오픈!",2018.05.04 ~ 2018.06.30
생활편의업종 무이자할부,2018.01.01 ~ 2018.06.30
"세금 납부할 때 챙기세요!
무이자할부 혜택",2018.01.01 ~ 2018.06.30
유럽 패키지 여행 동반자 20만원 할인!,2018.03.02 ~ 2018.06.30
이태리 최고급 패션 브랜드 라펠라 단독 할인,2018.04.01 ~ 2018.06.30
익스피디아 최대 12% 할인,2018.04.30 ~ 2018.06.30
자동으로 혜택 받는 4대 사회보험 자동납부,2018.05.01 ~ 2018.06.30
침대는 에이스 혜택은 KB국민카드!,2018.05.18 ~ 2018.06.30
학원비 깎아주는 KB국민 에듀카드 출시!,2018.05.02 ~ 2018.06.30
해외 호텔 예약사이트 한 눈에 할인 비교!,2018.05.14 ~ 2018.06.30
해외에서도 같은 값이면 5~2개월 무이자할부,2018.03.01 ~ 2018.06.30
호텔스닷컴은 15% 할인중,2018.04.01 ~ 2018.06.30
화제의 생활용품 특가로 득템!,2018.05.11 ~ 2018.06.30
Liiv Mate와 함께 ONE하는 게임+쇼핑 ONE스토어 3천원 캐쉬!,2018.05.28 ~ 2018.06.28
금호타이어 신제품 출시기념 이벤트,2018.05.21 ~ 2018.06.23
뮤지컬 <프랑켄슈타인> 1+1 티켓 이벤트,2018.05.28 ~ 2018.06.22
"좋은 인연을 꿈꾸는 그대, 지금 만나러 가듀오!",2018.05.14 ~ 2018.06.22
해외직구 몰리(mallRee) 최대 $20 보너스 캐시백,2018.05.23 ~ 2018.06.17
KB국민 마스터카드 오플닷컴 10% 혜택!,2018.05.01 ~ 2018.06.15
시니어를 위한 효(孝)Dog 문화교실,2018.05.12 ~ 2018.06.13
"KB체크카드 체크~질러! 2018 - 시즌2 캐시백, 내 계좌에 저장!",2018.05.10 ~ 2018.06.10
해외직구X아이포터 배송비 무료쿠폰!,2018.05.14 ~ 2018.06.10
가족 뮤지컬 「안녕 자두야」초대 이벤트,2018.05.21 ~ 2018.06.03
"18만원 청구할인 & GS25상품권 증정 스마트폰 구입, 스마트 하게!",2018.05.01 ~ 2018.05.31
2018 가정의 달 Wish Festival,2018.05.01 ~ 2018.05.31
5마이갓! 맛있는 5월!,2018.05.01 ~ 2018.05.31
5마이갓! 싸요~ 사요!,2018.05.01 ~ 2018.05.31
5마이갓! 쓰면 쓸수록 돌려드려U!,2018.05.01 ~ 2018.05.31
"5마이갓, 목표달성 캐시백",2018.05.01 ~ 2018.05.31
Beyond Value! BeV Ⅴ카드 캐시백 혜택,2018.05.01 ~ 2018.05.31
KB국민 VISA기업카드 국제선 항공권 캐시백,2018.04.16 ~ 2018.05.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2018.05.01 ~ 2018.05.31
KB국민 아멕스카드 NET-A-PORTER / MR.PORTER 10% 캐시백,2018.05.01 ~ 2018.05.31
"KB국민 앱카드 신규회원 최대 10,000점 포인트리 적립",2018.05.01 ~ 2018.05.31
KB국민체크카드와 함께 트와이스 팬미팅!,2018.05.01 ~ 2018.05.31
KB국민카드 해외이용 Global Festa 2018,2018.05.01 ~ 2018.05.31
"PUSH 수신 동의하고, 커피 한잔의 여유갖Go! 아이스크림으로 달콤하Go!",2018.05.08 ~ 2018.05.31
kB국민 국방(충성) 멤버쉽카드 가정의 달 최대 50만원 캐시백!,2018.05.01 ~ 2018.05.31
