text,date
신한 FAN 이용금액별 포인트 적립 이벤트,2018.05.18~2018.05.28
신한카드 행복드림(Dream) 페스티벌!,2018.05.01~2018.05.31
워너원 한정판 체크카드 사용하고 경품받자!,2018.04.30~2018.05.31
L7호텔 Yellow Summer 이벤트,2018.06.01~2018.07.31
파크 하얏트 서울 Summer Staycation 이벤트,2018.05.23~2018.08.15
「신한카드 골프 챌린지」참가 신청 안내,2018.05.23~2018.06.10
해외여행 최대 5% + 최대 10만원할인,2018.05.16~2018.06.14
PEUGEOT 2008 SUV Zero 이벤트,2018.05.01~2018.06.30
시트로엥 C4 CACTUS Zero 이벤트,2018.05.01~2018.06.30
신한카드 YOOX 10~15% 추가할인,2018.05.16~2018.05.30
신한카드 아트 컬렉션 <헨젤과 그레텔>20%할인,2018.05.15~2018.05.27
부담없이 내차처럼 신한카드 장기렌터카 특가 이벤트,2018.05.01~2018.06.28
신세계백화점에서 결제 시 신세계상품권 증정 5월 이벤트,2018.05.11~2018.05.27
한화 아쿠아플라넷 20~30% 할인(63·일산·여수·제주),2018.05.01~2018.10.31
신한카드 x G마켓 x 옥션 가맹점주고객 응원캠페인,2018.05.10~2018.06.11
롯데호텔 SWEET AFTERNOON 이벤트,2018.02.01~2018.05.31
올댓쇼핑 첫구매 감사 포인트적립이벤트,2018.05.08~2018.05.31
유니온페이(UPI) 해외이용 10% 캐시백 이벤트,2018.05.01~2018.06.28
아고다 호텔 할인 이벤트,2018.05.01~2018.05.31
Lady Propose 5월 영화 이벤트,2018.05.08~2018.05.31
켄싱턴호텔 사이판 초특가 제공 이벤트,2018.05.01~2018.09.30
네이버페이 신한카드 간편결제 이용 이벤트,2018.05.01~2018.05.30
네이버페이 신용카드 캐리비안베이 특가·적립,2018.05.01~2018.05.31
행복한 가정의 달 득템 찬스! 5! HAPPY 5월!,2018.05.03~2018.05.25
신한카드 X 홈플러스 어린이날 기념 완구 행사,2018.04.26~2018.05.16
나라사랑카드 GS25편의점 캐시백 이벤트,2018.05.02~2018.05.31
YOOX.COM 전상품 5% 추가할인,2018.05.02~2018.05.15
EBATES 5월 추가 캐시백,2018.05.01~2018.05.31
신한 FAN 5월 신규가입 이벤트,2018.05.01~2018.05.30
카드사용알림 무료상품 출시 이벤트 3탄!,2018.05.01~2018.05.31
신한카드 고객님을 위한 Special Day 이벤트,2018.05.01~2018.05.30
신한체크카드 지방세 납부 이벤트,2018.05.01~2018.05.30
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2018.05.01~2018.05.30
올댓컬쳐 뮤지컬 이벤트 최대 40% 할인,2018.04.16~2018.05.27
신한카드X현대요트 Yacht of Spring 이벤트,2018.05.05~2018.05.31
더 플라자 호텔 세븐스퀘어 이벤트,2018.05.11~2018.05.31
더 플라자 호텔 가든페스트 이벤트,2018.04.25~2018.05.05
신한카드 ‘유튜브 구독하기’ 경품 이벤트,2018.04.23~2018.05.14
신한 FAN 이용금액별 포인트 적립 이벤트,2018.04.20~2018.04.30
신세계상품권 증정 이벤트,2018.04.20~2018.04.26
아고다 한국 호텔 할인 이벤트,2018.04.06~2018.05.31
「친구에게 카드추천」하면 영화시사회 관람 혜택을!,2018.04.13~2018.04.18
YOOX 10~15% 추가할인 + 포인트 캐시백,2018.04.16~2018.04.29
신세계 신한카드 런칭 1주년 이벤트 제2탄!,2018.04.13~2018.04.22
카드사용알림 무료상품 출시 이벤트 2탄!,2018.04.03~2018.04.29
2분기에도 부담 없이! 주요 업종 무이자 할부 안내,2018.04.09~2018.06.28
쉐라톤 서울 디큐브시티 쉐라톤 스프링 패키지,2018.04.09~2018.05.31
그랜드 하얏트 서울,2018.04.09~2018.11.29
올댓쇼핑 첫구매 감사 포인트적립이벤트,2018.04.09~2018.04.29
Lady Propose 4월 영화 이벤트,2018.04.06~2018.04.30
"최대 50% 선착순 할인 쿠폰 받고, 나들이 고!",2018.04.09~2018.04.27
신한카드 Happy S.P.Ring Festival,2018.03.01~2018.03.31
신한카드 스페셜데이 이벤트,2017.12.30~2018.01.30
신한 FAN 4월 신규가입 이벤트,2018.04.01~2018.04.29
신한체크카드 지방세 납부 이벤트,2018.04.02~2018.04.29
파크 하얏트 서울 레이디스 나잇 아웃 패키지,2018.04.02~2018.04.29
해외명품초대전 ‘Super price 2018’,2018.04.02~2018.04.26
YOOX 전 상품 5% 추가할인,2018.04.01~2018.04.15
해외직구 EBATES 최대10% 추가 캐시백,2018.04.01~2018.04.29
네이버페이 신한카드 간편결제 이용 이벤트,2018.04.01~2018.04.29
신세계 신한카드 런칭 1주년! 스페셜 혜택,2018.03.30~2018.04.20
신한카드 고객님을 위한 Special Day 이벤트,2018.03.31~2018.04.29
"아고다 호텔 할인 이벤트(필리핀, 괌, 독일)",2018.04.01~2018.04.29
신한카드 지방세/국세 이벤트,2018.04.01~2018.04.26
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2018.04.01~2018.04.29
올댓여행 모두투어 더블혜택 찬스,2018.03.19~2018.04.29
Deep Dream 100만 돌파 기념 Go! Dream Do! Dream 이벤트,2018.03.05~2018.03.29
SOL Deep Dream 체크카드 출시 이벤트,2018.02.22~2018.03.31
웨딩을 직구하라! 제1회 올댓웨딩 박람회,2018.03.09~2018.03.25
신한 FAN 이용금액별 포인트 적립 이벤트,2018.03.21~2018.03.31
임피리얼팰리스서울 스윗스파 패키지 이벤트,2018.03.29~2018.11.29
아드만 애니메이션 전시회 초대 이벤트,2018.03.27~2018.04.06
롯데호텔 Show Me The Card Spring Festival,2018.04.01~2018.05.31
딱 2주간의 득템찬스! 봄봄봄 할인해봄,2018.03.16~2018.03.29
요기요 1초 결제 X 신한카드 2천원 할인 이벤트,2018.03.17~2018.03.23
신한카드 ‘유튜브 구독하기’ 경품 이벤트,2018.03.16~2018.04.03
YOOX 전 상품 5% 추가할인,2018.03.17~2018.03.29
신한카드 The DREAM Day 영화초청이벤트,2018.04.02~2018.04.13
FAN 콘텐츠 구경만해도 최대 1만 포인트!,2018.03.08~2018.03.29
직구웨딩! 올댓웨딩! GRAND OPEN,2018.03.08~2018.12.30
그랜드하얏트서울 봄맞이 숙박 이벤트,2018.03.01~2018.04.29
파라다이스 호텔 부산 Top3 패키지 할인 이벤트,2018.03.11~2018.04.29
Lady Propose 3월 영화 이벤트,2018.03.08~2018.03.31
볼보를 부담 없이 구매할 수 있는 기회!,2018.05.01~2018.06.30
신규런칭 기념 드림크루즈 특가 이벤트,2018.03.01~2018.08.30
올댓쇼핑 첫구매 감사 포인트적립 이벤트,2018.03.05~2018.03.29
"돌아다니기만 해도 혜택이 온다! 최대 1,000 포인트와 함께!",2018.03.05~2018.03.31
신한 FAN 3월 신규가입 이벤트,2018.03.01~2018.03.29
신한카드 YOOX 10~15% 추가할인,2018.03.01~2018.03.16
신한카드 The DREAM Day 어린이날 K리그 슈퍼매치,2018.04.16~2018.05.08
해외직구 EBATES 최대12% 추가 캐시백,2018.03.01~2018.03.29
"아고다 호텔 할인 이벤트 (태국, 중국, 스페인)",2018.03.01~2018.03.29
"어서와, 이 가격 장기렌터카는 처음이지?",2018.03.01~2018.04.29
신한카드 고객님을 위한 Special Day 이벤트,2018.03.01~2018.03.29
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2018.03.01~2018.03.29
신변보호서비스 신규 가입 이벤트,2018.02.01~2018.02.27
카드사용알림 PUSH(무료)로 받고 푸짐한 혜택!,2018.02.21~2018.03.31
신한 FAN 이용금액별 포인트 적립 이벤트,2018.02.20~2018.02.28
신한카드만의 특별한 혜택~! 설 맞이 사은행사 안내,2018.02.13~2018.02.27
VISA × 신한카드 평창 이벤트,2018.01.22~2018.02.18
최대 50% 할인! 설레는 설맞이 득템!,2018.01.24~2018.02.18
최대 50% 할인! 신학기 완벽준비!,2018.02.20~2018.03.08
올댓여행 신년맞이 2탄 조기예약 이벤트,2018.02.19~2018.03.29
FAN추천에서 꿀정보 확인하세요!,2018.02.14~2018.03.19
신한카드 YOOX 10~15% 추가할인,2018.02.14~2018.02.27
신세계백화점에서 결제시 신세계상품권 증정!,2018.02.02~2018.02.14
제주신화월드 One Night On Us 패키지 이벤트,2018.02.01~2018.03.29
FAN 아파트관리비 서비스 가입이벤트,2018.02.09~2018.03.29
아고다 한국 호텔 할인 이벤트,2018.02.10~2018.02.27
Lady Propose 2월 영화 이벤트,2018.02.07~2018.02.27
올댓쇼핑 첫구매 감사 캐시백 이벤트,2018.02.05~2018.02.27
4대 사회보험 신한카드 자동납부 이벤트,2018.02.01~2018.12.30
제주신화월드 신화테마파크 자유이용권 할인 이벤트,2018.02.01~2018.03.29
해외직구 EBATES 최대 12% 추가 캐시백,2018.02.01~2018.02.27
YOOX.COM 전상품 5% 추가할인,2018.02.01~2018.02.13
"돌아다니기만 해도 혜택이 온다! 최대 1,000 포인트와 함께!",2018.02.01~2018.02.27
신한카드 × VOLVO Smart한 구매 이벤트,2018.02.01~2018.02.27
신한카드 Deep Dream 연회비 캐시백 이벤트,2017.12.01~2018.02.27
롯데호텔 Show Me The Card,2018.02.01~2018.03.31
신한 FAN 2월 신규가입 이벤트,2018.02.01~2018.02.27
2018년 신학기맞이! 아이행복카드 경품이벤트,2018.01.22~2018.03.18
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2018.02.01~2018.02.27
"아고다 호텔 할인 이벤트(대만, 라오스, 캐나다)",2018.02.01~2018.02.27
