text,date
금호리조트 숙박권! American Express Gold 기프트,2018.05.11~2018.12.31
신세계 멘즈라이프 삼성카드 혜택,2018.03.16~2018.12.31
아라리오뮤지엄 삼성카드 제휴 혜택,2018.01.01~2018.12.31
성수기 호텔 예약? 10% 즉시 우대까지 받고 완료!,2018.05.01~2018.08.31
"LG U+ 터칭으로, 고객관리를 편하게-",2018.04.01~2018.08.31
"간편 전자 계약 서비스, 모두싸인 30% 할인!",2017.11.06~2018.08.31
'뭉쳐야 뜬다' 따라잡기- 미서부 여행!,2018.05.30~2018.07.31
"삼성카드에 UnionPay 로고 있으면, 호텔비가 절약돼요!",2018.05.09~2018.07.31
내일투어 괌 여행으로 여름 휴가 준비 끝!,2018.05.08~2018.07.08
"클리오, K3 첫 달 이자 캐시백",2018.05.18~2018.07.07
"3·6개월 할부하고,캐시백 받으세요!",2018.05.14~2018.07.07
"다이어트는 0원, 캐리비안 베이는 행운!",2018.05.02~2018.07.06
"우리, 화요일마다 행복해져요! 아지냥이 화요 체험단",2018.05.29~2018.07.02
2018년도 삼성카드 여행 혜택 모음!,2018.01.01~2018.06.30
2018년도 삼성카드 여행 호텔 혜택 안내,2018.01.01~2018.06.30
2018년 해외여행 혜택안내,2018.01.01~2018.06.30
"얼리버드 특가는 기본, 할인은 덤! 미리 준비하면, 여행이 가뿐~",2018.04.23~2018.06.30
Bloomingdale 할인 혜택,2017.12.12~2018.06.30
"키즈곰곰 25만 회원 달성 기념- 댓글 남기면, 크루즈 행운!",2018.05.31~2018.06.30
"종이 명세서 찢기는 그만! 1,000개의 행운",2018.05.02~2018.06.30
Luggage tag GIFT,2018.05.02~2018.06.30
부티크 호텔부터 프리미엄 호텔까지- 로그인만 하면 할인!,2018.04.01~2018.06.30
"예물의 품격은 높이고, 실속은 더하세요!",2018.05.21~2018.06.30
"Live the World, Stay Global",2018.01.02~2018.06.30
"플래티늄 등급 회원님을 위한, 조니워커하우스 프로모션",2018.01.02~2018.06.30
"웨딩을 위한 헤어·메이크업, 라메종뷰티 혜택으로 완성!",2018.05.28~2018.06.30
THE 1(Mercedes-Benz) 카드 캐시백 + 이용 프로모션,2018.04.01~2018.06.30
"Live the World, Live Asia",2018.01.02~2018.06.30
나의 신차! 20만원 캐시백!,2018.05.28~2018.06.30
taste BY FOUR SEASONS 멤버십 1개월 이용권 혜택,2018.05.04~2018.06.30
삼성프리미엄카드만의 특별함- 조니워커하우스 프로모션,2018.01.02~2018.06.30
"장거리 여행, 지금이 예약 타이밍! 모두투어 얼리버드 혜택",2018.05.14~2018.06.30
한국가구박물관 가이드 투어 동반인 무료 혜택,2018.04.02~2018.06.30
"Live the World, Shop Online",2018.01.02~2018.06.30
"SK매직의 여름맞이 선물은, 믹서기!",2018.05.02~2018.06.30
생활앱 × 홈마스터 가정의 달 이벤트,2018.05.02~2018.06.30
2018 유럽배낭여행 기획전! 여행 제대로 하는 사람들의 여행~,2018.04.04~2018.06.30
대세 모션베드 체리쉬 렌탈하면 공기청정기 선물!,2018.05.30~2018.06.30
삼성카드 × 홈플러스 30% 캐시백!,2018.04.12~2018.06.30
"봄에는 유럽에서, 혜택 꽃이 활짝!",2018.02.07~2018.06.30
"제이드블랑 드레스 입고, 10만원 할인권 받고!",2018.05.28~2018.06.30
"유럽 일주의 꿈, 지금이 실현 기회~ 품격 혜택으로!",2018.05.14~2018.06.30
"대한항공인데, 게다가 전세기! 편안한 여름 휴가 예약!",2018.05.02~2018.06.29
소상공인을 위한 스마트한 출퇴근 기록기 알밤 무료 및 할인,2017.07.07~2018.06.25
"전세계 항공권, 삼성카드 여행만의 특별한 혜택으로!",2018.05.21~2018.06.24
"보험료 계산 결과 남기면, TV·캐리비안 베이 행운!",2018.05.18~2018.06.18
6월 가연 미팅파티 이벤트,2018.05.16~2018.06.17
여름 휴가를 특가에 혜택으로- 모두투어 메가 세일!,2018.05.14~2018.06.17
하나투어 특가로 떠나는 유럽 여행! 지금 혜택 확인~,2018.04.13~2018.06.15
2018 하나투어 온라인 여행박람회- 특가에 무이자할부까지!,2018.05.21~2018.06.10
엔진오일 할인받고 캐리비안 베이 행운까지!,2018.05.02~2018.05.31
메리츠 다이렉트 자동차보험 3만원 주유권 이벤트,2018.05.02~2018.05.31
여행에 날개를 달아 줄 5월 항공권 혜택 모음!,2018.04.25~2018.05.31
"아고다 혜택, 인도네시아·노르웨이·스웨덴 호텔 8% 할인!",2018.05.01~2018.05.31
생일턱 냅니다- 탭탭이니까50% 캐시백! 2배적립!,2018.05.01~2018.05.31
롯데월드 자유이용권 넷이 가도 다 할인!,2018.05.17~2018.05.31
"플래티늄 등급 회원님께, KLPGA 프로와의 라운드 특가 혜택!",2018.04.02~2018.05.31
국내 호텔 혜택으로 호텔비를 아껴 보세요~,2018.04.25~2018.05.31
동남아에서 유럽까지- 하나투어 장거리·단거리 여행 혜택,2018.05.02~2018.05.31
다이렉트 자동차보험 가입하고 3만원 혜택받고!,2018.05.02~2018.05.31
인터파크에서 휴대전화를 저렴하게 구매하세요,2018.05.01~2018.05.31
한화다이렉트 자동차보험 2만원 주유권 프로모션,2018.05.01~2018.05.31
"휴대전화, 실속있고 저렴하게 구매하는 방법",2018.05.01~2018.05.31
삼성 디지털프라자 혜택,2018.05.01~2018.05.31
5월 다이렉트 오토할부 캐시백+할부금리 혜택,2018.05.01~2018.05.31
"품격에 실용을 더해, 신규회원 5만원 캐시백",2018.05.02~2018.05.31
"앱 알림 동의하자, 상품권 행운 도착!",2018.05.01~2018.05.31
가입 상담 신청만 해도 종이컵 또는 물티슈 증정!,2018.05.14~2018.05.31
18.5월 국세(종소세) LINK 결제일할인 혜택,2018.05.01~2018.05.31
"이용료 면제에, 스타벅스 1잔! 5월 세이프케어 가입 혜택",2018.05.01~2018.05.31
아지냥이X삼성카드쇼핑 100원 특가 이벤트,2018.05.04~2018.05.31
"이제 자동차보험도 삼성카드에서- 가입하면 30,000원 신세계상품권!",2018.05.01~2018.05.31
'뭉쳐야 뜬다' 여행상품 그대로 두바이의 붉은 사막으로!,2018.04.13~2018.05.31
현대해상다이렉트 자동차보험 3만원 주유권 이벤트,2018.05.01~2018.05.31
"쇼핑케어 가입하면, 신세계상품권 선물!",2018.05.01~2018.05.31
스마트매거진 즐기기- 첫 달 무료로 누리기!,2018.05.01~2018.05.31
행복한 5월의 나들이 혜택모음,2018.05.03~2018.05.31
기분 전환 봄 나들이 추천! 스프링 호텔 패키지 프로모션,2018.04.20~2018.05.31
"할인, 상품권, 포인트 사용 등 혜택으로 떠나는 5월 특가 여행!",2018.05.09~2018.05.31
삼성카드 회원이니까 가능한 5월 호텔 혜택!,2018.05.01~2018.05.31
삼성화재 다이렉트 자동차보험 3만원 캐시백 이벤트,2018.05.16~2018.05.31
LINK 가까이할수록 깊어지는 정! 마음을 전하는 5월 되세요~,2018.05.01~2018.05.31
반려견용 미세먼지 마스크 증정 이벤트,2018.05.01~2018.05.31
스마트오토케어 가입! 엔진오일 교환권 선물!,2018.05.01~2018.05.31
"분할 납부로 부담 줄이고, 경품 행운으로 실속 더하고!",2018.05.08~2018.05.31
THE BENEFIT Surprise 스프링 호텔 프로모션,2018.04.20~2018.05.31
고속도로 휴게소 스마트오더 이벤트,2018.05.01~2018.05.31
세계 여행을 떠나요! 5월의 출첵 이벤트,2018.05.02~2018.05.31
"메리츠 치아보험, 3만원까지 캐시백 이벤트!",2018.05.02~2018.05.31
"품격에 특별함을 더해, 당신에게만 5만원 캐시백",2018.05.02~2018.05.31
"가족 칭찬하고, 선물 받자!",2018.05.01~2018.05.31
홀가분 Chance로 스무디킹 1+1,2018.04.20~2018.05.31
삼성카드 × PLAYY 제휴 기념 이벤트,2017.06.22~2018.05.31
30만 아지·냥이 '놀이 타임'이 시작된다!,2018.05.01~2018.05.31
KB 매직카 다이렉트 3만원 캐시백 이벤트,2018.05.17~2018.05.31
"5월엔 가족 나들이 즐기고, 경품으로 한 번 더 즐기자!",2018.05.02~2018.05.31
"항공권 발권수수료 면제, 인기 노선 할인! 5월 항공권 혜택",2018.05.01~2018.05.31
THE BENEFIT Surprise 골프 프로모션,2018.04.02~2018.05.31
"생활앱 × 해피오더 4,000원 즉시 할인!",2018.05.02~2018.05.31
삼성화재 다이렉트 자동차보험 모바일주유권 증정 이벤트,2018.05.16~2018.05.31
CU GET커피 할인- 홀가분 Chance!,2018.05.01~2018.05.31
삼성 페이 X 삼성카드 갤럭시 S9 할인쿠폰 혜택,2018.03.16~2018.05.31
"명의보호알림, 웰컴 선물은 스타벅스!",2018.05.01~2018.05.31
"편리한 결제에, 캐시백 혜택까지- 온라인쇼핑은 삼성앱카드로!",2018.05.02~2018.05.27
