text,date
우리체크카드 개인/기업 지방세 캐시백 이벤트,2018.04.23 ~ 2018.07.31
우리카드 최초 이용하면 캐시백과 경품이 쏟아진다!,2018.04.02 ~ 2018.07.31
카드의 정석 온라인 발급 이벤트,2018.04.02 ~ 2018.06.30
카드의 정석 출시 기념 이벤트,2018.04.02 ~ 2018.06.30
여행의 정석! 우리카드 '카드의정석' 아시아나항공 할인!,2018.05.14 ~ 2018.06.30
위비마켓 렌탈서비스 오픈 이벤트!,2018.04.23 ~ 2018.06.30
쾌적함은 UP↑ 전기요금은 DOWN↓,2018.04.01 ~ 2018.06.30
웨딩밴드로 준비하Go~ 최대 100만원 캐시백 받Go~!,2018.05.14 ~ 2018.06.30
웨딩밴드와 함께하면 최대 30만원 추가 캐시백!,2018.04.23 ~ 2018.06.30
생활업종 및 4대 사회보험료 자동납부 이벤트,2018.04.01 ~ 2018.06.30
"카드의 정석, 서울/경기 주요 궁궐&릉 50% 청구할인",2018.04.18 ~ 2018.06.30
4대 사회보험료 자동납부 이벤트,2018.04.01 ~ 2018.06.30
도시가스 자동납부 이벤트,2018.04.01 ~ 2018.06.30
LH/SH 공사 임대주택 임대료 자동납부 이벤트,2018.04.01 ~ 2018.06.30
괌! 홍콩! 오키나와! 항공권이 1 + 1,2018.03.15 ~ 2018.06.30
우리체크 신규회원 웰컴킷,2018.01.02 ~ 2018.06.30
뮤지컬 <노트르담 드 파리> 티켓 1 + 1,2018.05.15 ~ 2018.06.24
UMF 울트라 뮤직 페스티벌 2018,2018.04.02 ~ 2018.06.10
체크카드 목표달성 이벤트,2018.05.08 ~ 2018.06.07
우리카드 고객만을 위한 해외 골프여행의 정석!,2018.04.30 ~ 2018.06.05
"가정의달 워터파크, 리조트 할인 이벤트",2018.05.01 ~ 2018.05.31
세븐일레븐 가정의 달 이벤트,2018.05.01 ~ 2018.05.31
해피포인트 해피오더 4천원 청구할인 이벤트,2018.05.01 ~ 2018.05.31
가정의 달 해외 이용 이벤트,2018.05.01 ~ 2018.05.31
우리카드와 함께 하는 행복한 가정의 달 이벤트,2018.05.01 ~ 2018.05.31
"5월 가정의 달, SRT 타고 가족여행 떠나세요!",2018.05.01 ~ 2018.05.31
5월 아고다 최대 10% 할인,2018.05.01 ~ 2018.05.31
몰리에서 해외직구하면 보너스 캐시백!,2018.05.01 ~ 2018.05.31
가정의 달 맞이 국내 호텔 할인!,2018.04.25 ~ 2018.05.31
"우리카드로 해외 이용하고 발뮤다, 다이슨 받자!",2018.04.18 ~ 2018.05.31
이하넥스 'THE 빠른 서비스' 배송비 4천원 할인!,2018.04.09 ~ 2018.05.31
매일유업 자동납부 이벤트,2018.04.02 ~ 2018.05.31
"대림미술관 Paper, Present 30% 할인",2017.12.07 ~ 2018.05.27
